group_id,concept,expected_sub_domain,members,source_count,sources
GRP-asset_inventory,Asset Inventory,SD-02.01,8,3,CIS Controls v8; Essential Cybersecurity Controls (ECC 2-2024); NCA ECC-1:2018
GRP-software_inventory,Software & License Inventory,SD-02.02,7,2,NIST SP 800-53 Rev. 5 — Security and Privacy Controls for Information Systems and Organizations; The NIST Cybersecurity Framework (CSF) 2.0
GRP-data_encryption,Data Protection & Encryption,SD-02.04,50,6,MITRE ATT&CK Enterprise; NCA ECC-1:2018; NIST CSF 2.0; NIST SP 800-53 Rev. 5 — Security and Privacy Controls for Information Systems and Organizations; OWASP Application Security Verification Standard 5.0.0; PCI DSS v4.0
GRP-mfa_auth,Authentication & Credentials,SD-03.02,341,14,CIS Controls v8; CIS Linux/Unix Security Benchmarks; Enterprise Infrastructure Hardening Guides; Essential Cybersecurity Controls (ECC 2-2024); MITRE ATT&CK Enterprise; MITRE ATT&CK v14; NCA ECC-1:2018; NIST CSF 2.0; NIST SP 800-124 Rev. 2; NIST SP 800-53 Rev. 5 — Security and Privacy Controls for Information Systems and Organizations; OWASP Application Security Verification Standard 5.0.0; OWASP MASVS 2.0; PCI DSS v4.0; The NIST Cybersecurity Framework (CSF) 2.0
GRP-access_control,Authorization & Access Control,SD-03.03,125,13,CIS Controls v8; CIS Linux/Unix Security Benchmarks; Enterprise Infrastructure Hardening Guides; Essential Cybersecurity Controls (ECC 2-2024); ISO 27002:2022; MITRE ATT&CK Enterprise; NCA ECC-1:2018; NIST CSF 2.0; NIST SP 800-53 Rev. 5 — Security and Privacy Controls for Information Systems and Organizations; OWASP Application Security Verification Standard 5.0.0; PCI DSS v4.0; SANS Security Policy Templates; The NIST Cybersecurity Framework (CSF) 2.0
GRP-privileged_access,Privileged Access,SD-03.04,40,8,CIS Controls v8; Essential Cybersecurity Controls (ECC 2-2024); MITRE ATT&CK Enterprise; Microsoft Security Best Practices; NCA ECC-1:2018; NIST SP 800-53 Rev. 5 — Security and Privacy Controls for Information Systems and Organizations; OWASP Application Security Verification Standard 5.0.0; The NIST Cybersecurity Framework (CSF) 2.0
GRP-network_security,Network Security,SD-04.01,33,6,Enterprise Infrastructure Hardening Guides; Essential Cybersecurity Controls (ECC 2-2024); MITRE ATT&CK Enterprise; NCA ECC-1:2018; NIST SP 800-53 Rev. 5 — Security and Privacy Controls for Information Systems and Organizations; OWASP Application Security Verification Standard 5.0.0
GRP-hardening,Secure Configuration / Hardening,SD-04.03,15,5,CIS Controls v8; Essential Cybersecurity Controls (ECC 2-2024); ISO 27002:2022; NIST SP 800-53 Rev. 5 — Security and Privacy Controls for Information Systems and Organizations; PCI DSS v4.0
GRP-cloud_security,Cloud & Virtual Platform,SD-04.04,15,1,MITRE ATT&CK Enterprise
GRP-app_sec_testing,Application & API Security Testing,SD-05.02,9,2,MITRE ATT&CK Enterprise; NIST SP 800-115 Security Testing
GRP-logging_monitoring,Logging & Security Monitoring,SD-06.01,88,8,CIS Controls v8; CIS Linux/Unix Security Benchmarks; Enterprise Infrastructure Hardening Guides; Essential Cybersecurity Controls (ECC 2-2024); MITRE ATT&CK Enterprise; NIST SP 800-53 Rev. 5 — Security and Privacy Controls for Information Systems and Organizations; OWASP Application Security Verification Standard 5.0.0; PCI DSS v4.0
GRP-threat_intel,Threat Intelligence & IoCs,SD-06.05,26,6,Essential Cybersecurity Controls (ECC 2-2024); ISO 27002:2022; MITRE ATT&CK Enterprise; NIST CSF 2.0; NIST SP 800-53 Rev. 5 — Security and Privacy Controls for Information Systems and Organizations; The NIST Cybersecurity Framework (CSF) 2.0
GRP-incident_response,Incident Response,SD-07.01,73,8,CIS Controls v8; Essential Cybersecurity Controls (ECC 2-2024); MITRE ATT&CK Enterprise; NCA ECC-1:2018; NIST CSF 2.0; NIST SP 800-53 Rev. 5 — Security and Privacy Controls for Information Systems and Organizations; SANS Security Policy Templates; The NIST Cybersecurity Framework (CSF) 2.0
GRP-backup_recovery,Backup & Restore,SD-07.03,39,5,CIS Controls v8; Essential Cybersecurity Controls (ECC 2-2024); MITRE ATT&CK Enterprise; NCA ECC-1:2018; NIST SP 800-53 Rev. 5 — Security and Privacy Controls for Information Systems and Organizations
GRP-awareness_training,Awareness & Training,SD-08.01,14,5,CIS Controls v8; Essential Cybersecurity Controls (ECC 2-2024); ISO 27002:2022; MITRE ATT&CK v14; NIST SP 800-53 Rev. 5 — Security and Privacy Controls for Information Systems and Organizations
GRP-third_party,Supplier & Third-Party,SD-08.03,77,7,Essential Cybersecurity Controls (ECC 2-2024); MITRE ATT&CK Enterprise; NCA ECC-1:2018; NIST CSF 2.0; NIST SP 800-53 Rev. 5 — Security and Privacy Controls for Information Systems and Organizations; OWASP Application Security Verification Standard 5.0.0; The NIST Cybersecurity Framework (CSF) 2.0
